eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
partizan and red star of yugoslavia , alba of germany , and benetton of italy are also taking part in the event which continues until saturday .|||B-ORG O B-ORG I-ORG O B-LOC O B-ORG O B-LOC O O B-ORG O B-LOC O O O O O O O O O O O O
add results|||O O
partizan beat benetton 97-94 ( halftime 39-32 ) .|||B-ORG O B-ORG O O O O O O
final partizan v olympiakos .|||O B-ORG O B-ORG O
squash - hong kong open second round results .|||O O B-MISC I-MISC I-MISC O O O O
hong kong 1996-08-29|||B-LOC I-LOC O
second round results in the hong kong open on thursday ( prefix number denotes seeding ) :|||O O O O O B-MISC I-MISC I-MISC O O O O O O O O O
1 - jansher khan ( pakistan ) beat simon frenz ( germany ) 15-12 15-7 12-15 15-10|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O
mark cairns ( england ) beat joseph kneipp ( australia ) 8-15 15-12 15-8 15-8|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O
anthony hill ( australia ) beat mir zaman gul ( pakistan ) 15-12 15-11 15-13|||B-PER I-PER O B-LOC O O B-PER I-PER I-PER O B-LOC O O O O
dan jenson ( australia ) beat 3 - brett martin ( australia ) 15-9 17-14 7-15 9-15 15-14|||B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O O O
4 - peter nicol ( scotland ) beat jonathon power ( canada ) 15-10 15-9 15-9|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
7 - chris walker ( england ) beat amr shabana ( egypt ) 15-13 15-10 15-6|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
derek ryan ( ireland ) beat paul johnson ( england ) 10-15 15-5 12-15 15-12 15-11|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O
2 - rodney eyles ( australia ) beat zubair jahan khan ( pakistan ) 15-10 15-8 9-15 13-15 15-4 .|||O O B-PER I-PER O B-LOC O O B-PER I-PER I-PER O B-LOC O O O O O O O
soccer - results of south korean pro-soccer games .|||O O O O B-MISC I-MISC O O O
seoul 1996-08-29|||B-LOC O
results of south korean pro-soccer|||O O B-MISC I-MISC O
games played on wednesday .|||O O O O O
chonan 4 anyang 1 ( halftime 1-0 )|||B-ORG O B-ORG O O O O O
suwon 4 pusan 0 ( halftime 2-0 )|||B-ORG O B-ORG O O O O O
standings after games played on wednesday ( tabulate under -|||O O O O O O O O O O
won , drawn , lost , goals for , goals against , points ) :|||O O O O O O O O O O O O O O O
w d l g / f g / a p|||O O O O O O O O O O
chonan 3 0 1 13 10 9|||B-ORG O O O O O O
puchon 2 1 0 4 0 7|||B-ORG O O O O O O
suwon 1 3 0 7 3 6|||B-ORG O O O O O O
pohang 1 1 1 8 8 4|||B-ORG O O O O O O
ulsan 1 0 1 6 6 3|||B-ORG O O O O O O
anyang 0 3 1 6 9 3|||B-ORG O O O O O O
chonnam 0 2 1 4 5 2|||B-ORG O O O O O O
pusan 0 2 1 3 7 2|||B-ORG O O O O O O
chonbuk 0 0 2 2 5 0|||B-ORG O O O O O O
baseball - results of s. korean pro-baseball games .|||O O O O B-MISC I-MISC O O O
seoul 1996-08-29|||B-LOC O
results of south korean|||O O B-MISC I-MISC
pro-baseball games played on wednesday .|||O O O O O O
lg 5 ob 1|||B-ORG O B-ORG O
ob 4 lg 3|||B-ORG O B-ORG O
ssangbangwool 12 hanwha 0|||B-ORG O B-ORG O
hanwha 12 ssangbangwool 5|||B-ORG O B-ORG O
lotte 4 hyundai 0|||B-ORG O B-ORG O
samsung 7 haitai 1|||B-ORG O B-ORG O
note - lg and ob , ssangbangwool and hanwha played two games .|||O O B-ORG O B-ORG O B-ORG O B-ORG O O O O
standings after games played on wednesday ( tabulate under|||O O O O O O O O O
won , drawn , lost , winning percentage , games behind first place )|||O O O O O O O O O O O O O O
w d l pct gb|||O O O O O
haitai 63 2 42 .598 -|||B-ORG O O O O O
ssangbangwool 59 2 48 .500 5|||B-ORG O O O O O
hanwha 57 1 49 .537 6 1/2|||B-ORG O O O O O O
hyundai 56 5 48 .536 6 1/2|||B-ORG O O O O O O
samsung 48 5 55 .468 14|||B-ORG O O O O O
lotte 45 6 53 .462 14 1/2|||B-ORG O O O O O O
lg 45 5 59 .436 17 1/2|||B-ORG O O O O O O
ob 42 6 61 .413 20|||B-ORG O O O O O
tennis - thursday 's results from the u.s. open .|||O O O O O O O B-MISC I-MISC O
new york 1996-08-29|||B-LOC I-LOC O
results of second round matches on thursday in the u.s. open tennis championships at the national tennis centre ( prefix number denotes seeding ) :|||O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O B-LOC I-LOC I-LOC O O O O O O O
women 's singles|||O O O
anna kournikova ( russia ) beat natalia baudone ( italy ) 6-3 6-3|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
rita grande ( italy ) beat tina krizan ( slovenia ) 6-2 6-0|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
els callens ( belgium ) beat annabel ellwood ( australia ) 6-4|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
1-6 6-1|||O O
elena likhovtseva ( russia ) beat lila osterloh ( u.s. ) 6-4 6-2|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
sandra dopfer ( austria ) beat nanne dahlman ( finland ) 2-6 6-2|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
6- 3|||O O
men 's singles|||O O O
13 - thomas enqvist ( sweden ) beat guillaume raoux ( france ) 6-3|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
6- 2 6-3|||O O O
sergi bruguera ( spain ) beat michael stich ( germany ) 6-3 6-2|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
6-4|||O
jakob hlasek ( switzerland ) beat alberto berasategui ( spain ) 7-6 ( 7-5 ) 7-6 ( 9-7 ) 6-0|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O O O
women 's singles , second round|||O O O O O O
1 - steffi graf ( germany ) beat karin kschwendt ( austria ) 6-2 6-1|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
naoko kijimuta ( japan ) beat alexandra fusai ( france ) 6-4 7-5|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
natasha zvereva ( belarus ) beat ai sugiyama ( japan ) 4-6 6-4 6-3|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
14 - barbara paulus ( austria ) beat elena wagner ( germany ) 7-5 7-6 ( 7-5 )|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O
petra langrova ( czech republic ) beat naoko sawamatsu ( japan ) 6- 4 3-6 7-5|||B-PER I-PER O B-LOC I-LOC O O B-PER I-PER O B-LOC O O O O O
17 - karina habsudova ( slovakia ) beat nathalie dechy ( france ) 6-4 6-2|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
women 's singles , second round|||O O O O O O
7 - jana novotna ( czech republic ) beat florencia labat ( argentina ) 6-2 4-6 6-2|||O O B-PER I-PER O B-LOC I-LOC O O B-PER I-PER O B-LOC O O O O
men 's singles , second round|||O O O O O O
3 - thomas muster ( austria ) beat dirk dier ( germany ) 6-3 6-2 6-4|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
pablo campana ( ecuador ) beat mark knowles ( bahamas ) 7-6 ( 7-3 ) 3 - 6 6-3 6-7 ( 3-7 ) 6-3|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O O O O O O O
jason stoltenberg ( australia ) beat kenneth carlsen ( denmark ) 6- 3 7-6 ( 7-1 ) 6-3|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O
arnaud boetsch ( france ) beat magnus gustafsson ( sweden ) 7-6 ( 8- 6 ) 6-3 6-1|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O
add women 's singles , second round|||O O O O O O O
16 - martina hingis ( switzerland ) beat miriam oremans ( netherlands ) 6-4 6-4|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
tami whitlinger jones ( u.s. ) beat amy frazier ( u.s. ) 7-6 ( 7-3 ) 6-2|||B-PER I-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O
judith wiesner ( austria ) beat debbie graham ( u.s. ) 6-2 7-5|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
add men 's singles , second round|||O O O O O O O
6 - andre agassi ( u.s. ) beat leander paes ( india ) 3-6 6-4 6-1 6-0|||O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O
javier sanchez ( spain ) beat jim grabb ( u.s. ) 6-2 7-6 ( 7-3 ) 2-6 6-3|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O
hernan gumy ( argentina ) beat jared palmer ( u.s. ) 6-7 ( 5-7 ) 6-3 7-6 ( 7-4 ) 0-6 7-6 ( 7-1 )|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O O O O O O O O
:|||O
women 's singles , second round|||O O O O O O
3 - arantxa sanchez vicario ( spain ) beat nicole arendt ( u.s. )|||O O B-PER I-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O
6-2 6-2|||O O
men 's singles , second round|||O O O O O O
david wheaton ( u.s. ) beat frederic vitoux ( france ) 6-4 6-4|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
4-6 7-6 ( 7-4 )|||O O O O O
jan siemerink ( netherlands ) beat carlos moya ( spain ) 7-6|||B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
( 7-2 ) 6-4 6-4|||O O O O O
baseball - major league standings after wednesday 's games .|||O O B-MISC I-MISC O O O O O O
new york 1996-08-29|||B-LOC I-LOC O
major league baseball|||B-MISC I-MISC I-MISC
standings after games played on wednesday ( tabulate under won ,|||O O O O O O O O O O O
lost , winning percentage and games behind ) :|||O O O O O O O O O
american league|||B-MISC I-MISC
eastern division|||B-MISC I-MISC
w l pct gb|||O O O O
new york 74 58 .561 -|||B-ORG I-ORG O O O O
baltimore 70 62 .530 4|||B-ORG O O O O
boston 69 65 .515 6|||B-ORG O O O O
toronto 63 71 .470 12|||B-ORG O O O O
detroit 47 86 .353 27 1/2|||B-ORG O O O O O
central division|||B-MISC I-MISC
cleveland 80 53 .602 -|||B-ORG O O O O
chicago 71 64 .526 10|||B-ORG O O O O
minnesota 66 67 .496 14|||B-ORG O O O O
milwaukee 64 70 .478 16 1/2|||B-ORG O O O O O
kansas city 61 73 .455 19 1/2|||B-ORG I-ORG O O O O O
western division|||B-MISC I-MISC
texas 75 58 .564 -|||B-ORG O O O O
seattle 69 63 .523 5 1/2|||B-ORG O O O O O
oakland 64 72 .471 12 1/2|||B-ORG O O O O O
california 61 72 .459 14|||B-ORG O O O O
thursday , august 29th schedule|||O O O O O
kansas city at detroit|||B-ORG I-ORG O B-LOC
minnesota at milwaukee|||B-ORG O B-LOC
new york at california|||B-ORG I-ORG O B-LOC
baltimore at seattle|||B-ORG O B-LOC
national league|||B-MISC I-MISC
eastern division|||B-MISC I-MISC
w l pct gb|||O O O O
atlanta 82 49 .626 -|||B-ORG O O O O
montreal 71 60 .542 11|||B-ORG O O O O
florida 63 70 .474 20|||B-ORG O O O O
new york 59 74 .444 24|||B-ORG I-ORG O O O O
philadelphia 54 80 .403 29 1/2|||B-ORG O O O O O
central division|||B-MISC I-MISC
houston 72 62 .537 -|||B-ORG O O O O
st louis 69 64 .519 2 1/2|||B-ORG I-ORG O O O O O
cincinnati 65 67 .492 6|||B-ORG O O O O
chicago 64 66 .492 6|||B-ORG O O O O
pittsburgh 56 76 .424 15|||B-ORG O O O O
western division|||B-MISC I-MISC
san diego 74 60 .552 -|||B-ORG I-ORG O O O O
los angeles 71 61 .538 2|||B-ORG I-ORG O O O O
colorado 70 64 .522 4|||B-ORG O O O O
san francisco 57 74 .435 15 1/2|||B-ORG I-ORG O O O O O
thursday , august 29th schedule|||O O O O O
san diego at new york|||B-ORG I-ORG O B-LOC I-LOC
chicago at houston|||B-ORG O B-LOC
cincinnati at colorado|||B-ORG O B-LOC
atlanta at pittsburgh|||B-ORG O B-LOC
los angeles at montreal|||B-ORG I-ORG O B-LOC
florida at st louis|||B-ORG O B-LOC I-LOC
baseball - yankees brawl and continue to slide .|||O O B-ORG O O O O O O
seattle 1996-08-29|||B-LOC O
jay buhner hit a three-run homer and former yankee terry mulholland allowed one run over seven innings as the seattle mariners completed a sweep of new york with a 10-2 victory in a game marred by a bench-clearing brawl .|||B-PER I-PER O O O O O O B-MISC B-PER I-PER O O O O O O O O B-ORG I-ORG O O O O B-ORG I-ORG O O O O O O O O O O O O O
including the last three games of last october 's divisional playoff series , the mariners have beaten the yankees 12 of the past 15 meetings overall and 14 of the last 16 in the kingdome .|||O O O O O O O O O O O O O O B-ORG O O O B-ORG O O O O O O O O O O O O O O O B-LOC O
five players were ejected after yankees ' outfielder paul o'neill and seattle catcher john marzano got into a fight after o'neill had been brushed back .|||O O O O O B-ORG O O B-PER I-PER O B-ORG O B-PER I-PER O O O O O B-PER O O O O O
in baltimore , don wengert threw a nine-hitter for his first shutout and jose herrera had a two-run double in a three-run fifth inning as the oakland athletics blanked the baltimore orioles 3-0 .|||O B-LOC O B-PER I-PER O O O O O O O O B-PER I-PER O O O O O O O O O O O B-ORG I-ORG O O B-ORG I-ORG O O
wengert ( 7-9 ) , who failed to record a shutout in his previous 86 starts in either the minors or majors , did not walk a batter and struck out three for oakland .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O
in chicago , james baldwin scattered five hits over seven scoreless innings and ray durham and ozzie guillen had rbi hits in the second inning as the chicago white sox blanked the milwaukee brewers 2-0 .|||O B-LOC O B-PER I-PER O O O O O O O O B-PER I-PER O B-PER I-PER O B-MISC O O O O O O O B-ORG I-ORG I-ORG O O B-ORG I-ORG O O
baldwin ( 10-4 ) struck out four and did not walk a batter for chicago , which won for only the fourth time in 15 games .|||B-PER O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
dave nilsson had three hits for the brewers .|||B-PER I-PER O O O O O B-ORG O
in kansas city , jose offerman 's single with two out in the 12th inning scored johnny damon with the winning run and lifted the kansas city royals to a 4-3 victory over the texas rangers .|||O B-LOC I-LOC O B-PER I-PER O O O O O O O O O O B-PER I-PER O O O O O O O B-ORG I-ORG I-ORG O O O O O O B-ORG I-ORG O
rick huisman ( 1-1 ) allowed one hit and a walk in the 12th to post his first major-league win .|||B-PER I-PER O O O O O O O O O O O O O O O O O O O
in toronto , pat hentgen tossed a five-hitter for his fifth consecutive complete game and three players drove in two runs apiece as the toronto blue jays defeated the minnesota twins 6-1 for their ninth win in 11 games .|||O B-LOC O B-PER I-PER O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-ORG I-ORG O O O O O O O O O
hentgen ( 17-7 ) surrendered just three doubles and a pair of singles in tossing his major-league leading ninth complete game .|||B-PER O O O O O O O O O O O O O O O O O O O O O
he walked three and struck out three in winning for the 10th time in his last 11 decisions .|||O O O O O O O O O O O O O O O O O O O
in detroit , orel hershiser recorded his fourth straight win and albert belle snapped a sixth-inning tie with a grand slam as the cleveland indians completed a season sweep of the detroit tigers with a 9-3 victory .|||O B-LOC O B-PER I-PER O O O O O O B-PER I-PER O O O O O O O O O O B-ORG I-ORG O O O O O O B-ORG I-ORG O O O O O
hershiser ( 14-7 ) , who allowed three runs , eight hits and one walk with five strikeouts over seven innings , improved to 4-0 in his last six starts , including a pair of wins over detroit in the last 11 days .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O
at california ,|||O B-LOC O
in seattle ,|||O B-LOC O
baseball - major league results wednesday .|||O O B-MISC I-MISC O O O
new york 1996-08-29|||B-LOC I-LOC O
results of major league|||O O B-MISC I-MISC
baseball games played on wednesday ( home team in caps ) :|||O O O O O O O O O O O O
national league|||B-MISC I-MISC
colorado 10 cincinnati 9|||B-ORG O B-ORG O
montreal 6 los angeles 5|||B-ORG O B-ORG I-ORG O
atlanta 9 pittsburgh 4|||B-ORG O B-ORG O
san diego 3 new york 2 ( 10 innings )|||B-ORG I-ORG O B-ORG I-ORG O O O O O
houston 5 chicago 4 ( 11 innings )|||B-ORG O B-ORG O O O O O
florida 3 st louis 2 ( 10 innings )|||B-ORG O B-ORG I-ORG O O O O O
san francisco 7 philadelphia 6|||B-ORG I-ORG O B-ORG O
american league|||B-MISC I-MISC
cleveland 9 detroit 3|||B-ORG O B-ORG O
chicago 2 milwaukee 0|||B-ORG O B-ORG O
oakland 3 baltimore 0|||B-ORG O B-ORG O
toronto 6 minnesota 1|||B-ORG O B-ORG O
kansas city 4 texas 3 ( 12 innings )|||B-ORG I-ORG O B-ORG O O O O O
boston 7 california 4|||B-ORG O B-ORG O
seattle 10 new york 2|||B-ORG O B-ORG I-ORG O
tennis - martinez gets aggressive at u.s. open .|||O O B-PER O O O B-MISC I-MISC O
larry fine|||B-PER I-PER
new york 1996-08-28|||B-LOC I-LOC O
conchita martinez decided that when in new york , do as the new yorkers do -- and the spaniard 's new-found aggressiveness seems to have put her in the right frame of mind for the u.s. open .|||B-PER I-PER O O O O B-LOC I-LOC O O O O B-MISC I-MISC O O O O B-MISC O O O O O O O O O O O O O O O O B-MISC I-MISC O
the fourth-seeded spaniard , who is tackling the world class traffic of new york city as a warm-up by driving to the tennis centre for her matches , ran over france 's nathalie tauziat 6-1 6-3 on wednesday to take her place in the third round .|||O O B-MISC O O O O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O O O O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O
" i 've been trying my whole career to be aggressive , " said the 24-year-old martinez after crushing tauziat in just over an hour .|||O O O O O O O O O O O O O O O O B-PER O O B-PER O O O O O O
